,KNN,KNN,KNN,KNN,KNN,KNN,KNN,KNN,KNN,KNN,KNN,KNN,CART,CART,CART,CART,CART,CART,CART,CART,CART,CART,CART,CART,NB,NB,NB,NB,NB,NB,NB,NB,NB,NB,NB,NB,SVM,SVM,SVM,SVM,SVM,SVM,SVM,SVM,SVM,SVM,SVM,SVM
,None,SMOTE,BorderlineSMOTE,A-SUWO,FW-SMOTE,G-SMOTE,ASRDO,RBU,ENU,SMOTE-IPF,CCR,HDHS,None,SMOTE,BorderlineSMOTE,A-SUWO,FW-SMOTE,G-SMOTE,ASRDO,RBU,ENU,SMOTE-IPF,CCR,HDHS,None,SMOTE,BorderlineSMOTE,A-SUWO,FW-SMOTE,G-SMOTE,ASRDO,RBU,ENU,SMOTE-IPF,CCR,HDHS,None,SMOTE,BorderlineSMOTE,A-SUWO,FW-SMOTE,G-SMOTE,ASRDO,RBU,ENU,SMOTE-IPF,CCR,HDHS
ecoli3,46.15,75,66.67,66.67,46.15,36.36,55.56,27.27,57.14,52.17,58.82,66.67,40,55.56,62.5,47.06,53.33,41.38,0,14.58,41.38,47.62,42.11,75,33.33,41.38,44.44,34.29,30.77,50,52.17,18.42,35.29,33.33,41.38,41.38,50,50,48,54.55,54.55,54.55,44.44,33.33,60,48,52.17,57.14
glass1,45.16,52.94,52.94,52.17,57.14,51.43,58.67,50,57.97,55.88,55.88,64,29.41,11.76,15,31.25,6.06,40,53.52,39.02,57.89,53.73,16.67,41.94,13.33,14.29,14.29,0,29.41,55.56,32.56,56.18,14.29,13.33,14.29,26.67,50,47.83,42.86,51.52,50.75,47.62,56,48.98,60.27,61.11,38.1,57.14
glass6,87.5,31.82,37.84,58.33,46.67,21.54,24.14,32.56,100,93.33,29.79,87.5,93.33,82.35,82.35,71.43,76.92,20,14.93,19.44,93.33,25.45,93.33,100,63.64,75,53.85,77.78,42.86,19.44,19.72,19.72,24.56,28.57,77.78,48,25.93,22.58,22.95,22.58,82.35,20,22.95,31.82,82.35,26.92,22.58,77.78
vehicle0,82.05,80.62,83.72,83.46,85,77.33,83.45,79.69,83.61,82.44,80.31,85.95,59.05,75,76.64,73.87,39.53,25.4,74.24,70.48,49.5,77.19,57.14,79.65,50.85,52.07,50.56,55.13,51.46,52.99,57.97,51.69,50.83,50.56,53.89,58.38,95.38,93.94,93.94,91.18,92.68,60.78,77.5,89.86,90.23,93.23,89.21,94.49
vehicle1,39.02,60.11,57.47,59.67,53.99,55.56,55.96,56.32,57.71,56.74,57.47,60.47,0,50.93,55.21,57.14,56.44,45.95,54.46,46.25,58.82,54.02,51.66,55.62,55.61,56.84,57.14,55.61,57.75,49.4,55.45,56.38,55.07,55.34,56.83,60.44,58.16,65.87,69.23,72.04,72.22,52.35,64.11,71.58,67.37,71.35,70.06,76.14
vehicle2,87.88,85.11,82.19,83.33,81.38,52.86,80.54,82.76,76.92,78.15,84.51,87.41,84.8,91.94,89.39,78.15,83.69,36.94,84.85,83.21,74.07,74.68,82.52,81.08,71.01,68.97,51.57,58.6,57.67,38.22,67.63,70.5,72,56.21,68.46,72.34,91.8,87.5,89.39,87.69,86.57,65.22,85.51,89.23,87.88,84.29,89.23,94.21
yeast1,51.38,49.26,47.93,48.09,49.85,50,49.1,49.03,52.45,55.98,48.07,49.44,47.27,48.28,53.61,60.74,53.21,45.08,56.3,44.83,52.34,50.67,57.76,53.46,45.85,46.44,46.72,46.44,45.12,4.58,45.39,1.55,46.8,47.19,46.32,48.22,40,55.14,52.09,52.48,54.59,55.36,53.72,50.63,56.12,57.63,53.14,53.27
yeast3,78.38,72.73,67.42,69.57,63.27,27.18,53.33,19.57,75.61,66.67,69.57,69.57,73.91,45.16,55.26,65.38,53.33,16.63,0,18.43,69.9,50,50.67,73.33,26.37,32.13,27.42,29.52,18.85,8.16,20,21.81,28.77,32.13,30.89,24.92,77.33,70.97,71.15,71.84,70.8,59.54,69.64,18.27,75.27,69.16,72.34,71.03
abalone-17_vs_7-8-9-10,0,11.81,12.5,11.63,22.86,7.32,7.44,6.54,17.07,12.29,11.32,13.49,31.25,12.8,12.33,14.29,18.05,5,5,5,11.63,11.88,13.93,15,9.01,7.85,8.75,6.45,7.07,8,8.37,8.97,8.57,8.33,6,9.09,43.24,12.12,11.85,11.88,16.99,22.36,6.05,12.1,20,10.88,12.24,18.09
abalone-19_vs_10-11-12-13,0,0,0,0,0,5.13,0,4.74,3.43,0,0,5.81,0,0,6.9,12.12,0,4.81,4.81,4.81,5.71,7.84,13.33,5.03,0,0,0,0,0,0,0,6.08,0,0,0,5.64,0,5.93,4.73,5.62,12.9,5.97,5.63,5.41,7.32,5.9,5.87,5.9
