,KNN,KNN,KNN,KNN,KNN,KNN,KNN,KNN,KNN,KNN,KNN,KNN,CART,CART,CART,CART,CART,CART,CART,CART,CART,CART,CART,CART,NB,NB,NB,NB,NB,NB,NB,NB,NB,NB,NB,NB,SVM,SVM,SVM,SVM,SVM,SVM,SVM,SVM,SVM,SVM,SVM,SVM
,None,SMOTE,BorderlineSMOTE,A-SUWO,FW-SMOTE,G-SMOTE,ASRDO,RBU,ENU,SMOTE-IPF,CCR,HDHS,None,SMOTE,BorderlineSMOTE,A-SUWO,FW-SMOTE,G-SMOTE,ASRDO,RBU,ENU,SMOTE-IPF,CCR,HDHS,None,SMOTE,BorderlineSMOTE,A-SUWO,FW-SMOTE,G-SMOTE,ASRDO,RBU,ENU,SMOTE-IPF,CCR,HDHS,None,SMOTE,BorderlineSMOTE,A-SUWO,FW-SMOTE,G-SMOTE,ASRDO,RBU,ENU,SMOTE-IPF,CCR,HDHS
ecoli3,63.16,90.73,89.79,89.79,85.93,82.4,81.1,76.52,88.36,87.4,81.53,89.79,51.84,81.1,81.97,72.15,72.93,84.43,0,43.37,84.43,79.78,71.36,90.73,80.84,84.43,85.43,81.36,79.25,86.91,87.4,62.14,81.88,80.84,84.43,84.43,72.54,86.91,86.42,87.88,87.88,87.88,85.43,85.02,88.84,86.42,87.4,88.36
glass1,50.68,59.29,59.29,58.38,64.36,57.46,66.53,55.58,65.27,62.73,62.73,73.46,34.83,20.35,23.46,35.67,14.18,44.99,59.98,43.51,65.54,60.18,24.93,47.23,21.48,22.03,22.03,0,34.83,60.81,38.62,62.02,22.03,21.48,22.03,31.9,54.77,51.66,46.73,57.62,56.74,53.29,63.06,53.29,68.46,69.4,42.97,64.36
glass6,98.45,73.38,80.38,91.99,86.82,46.41,56.84,74.42,100,99.23,70.16,98.45,99.23,97.67,97.67,81.87,82.54,37.21,29.65,32.82,99.23,60.76,99.23,100,93.64,89.69,90.3,96.87,80.38,32.82,35.08,35.08,58.18,67.94,96.87,82.81,62.02,51.14,52.62,51.14,97.67,37.21,52.62,73.38,97.67,64.45,51.14,96.87
vehicle0,84.27,86.96,89.38,88.55,87.42,90.01,92.24,85.93,87.05,89,86.12,88.46,64.45,77.64,77.21,76.54,46.7,40.32,82.74,72.38,56.77,79.81,61.4,81.25,69.08,69.52,68.87,70.88,69.12,75.29,79.77,70.05,69.42,68.87,71.12,77.91,98.81,98.41,98.41,97.61,94.17,82.77,92.64,97.21,95.82,98.21,97,97.01
vehicle1,46.57,70.89,67.4,70.24,63.05,66.27,67.87,66.35,70.34,70.41,67.4,69.87,0,60.18,64.12,65.54,65.18,56.8,67.06,56.01,71.75,64.25,59.69,65.16,66.99,68.47,69.32,66.99,69.06,63.04,68.09,67.83,68.06,68.27,67.77,71.08,63.53,73.95,79.35,82.65,81.81,66.4,77.8,82.85,78.75,81.83,79.31,84.67
vehicle2,95.17,95.78,94.74,95.16,93.74,76.07,94.12,94.95,89.31,92.5,95.57,95.79,90.4,95.53,96.39,92.5,94.57,55.38,92.73,92.95,91.36,91.02,94.16,94.33,82.95,82.81,69.01,75.53,75.53,48.6,80.28,82.76,80.41,72.64,83.23,84.82,94.69,93.52,96.39,94.35,94.77,86.49,95.18,95.57,95.17,94.77,95.57,96.12
yeast1,60.64,63.23,61.89,62.16,63.69,65.8,62.96,63.63,68.73,70.43,62.01,64.15,54.83,61.56,65.19,74.26,66.04,55.39,63.35,54.2,68.9,62.99,71.06,66.61,56.99,58.34,58.76,58.34,55.21,12.99,55.63,7.48,58.95,60.16,58.3,62.71,46.17,71.73,68.62,69.02,71.46,72.05,69.37,66.76,73.42,72.72,69.68,69.82
yeast3,82.58,85.94,82.71,85.53,83.37,71.1,90.69,49.44,84.98,86.33,85.53,85.53,88.58,56.16,68.79,87.31,67.05,31.37,0,44.86,90.39,68.11,65.19,87.27,69.75,77.84,71.66,74.69,45.66,20.94,51.44,58.38,73.81,77.84,75.73,66.8,82.48,86.96,91.75,91.86,95.05,91.55,93.74,46.93,89.98,91.41,88.37,92.87
abalone-17_vs_7-8-9-10,0,75.33,73.14,75.01,64.05,61.32,60.15,53.91,59.26,79.62,74.46,80.69,51.87,78.28,74.65,80.36,75.04,16.01,16.01,16.01,65.97,78.72,81.36,73.32,68.82,63.91,66.59,57.1,59.96,64.05,66.63,69.3,60.27,66.07,54.69,69.08,65.66,79.26,77.72,78.72,76.91,90.66,45.13,78.24,51.18,76.14,79.53,85.86
abalone-19_vs_10-11-12-13,0,0,0,0,0,48.17,0,50.26,40.4,0,0,55.81,0,0,28.06,39.59,0,15.7,15.7,15.7,48.31,38.8,28.48,36.81,0,0,0,0,0,0,0,52.6,0,0,0,47.33,0,50.97,47.53,50.83,54.44,54.25,41.78,53.23,63.16,50.6,50.22,53.49
glass2,0,33.48,33.81,33.81,0,60.76,48.04,46.88,0,42.97,33.81,62.9,0,0,0,0,0,57.42,0,55.67,28.52,34.77,0,72.63,35.7,0,0,0,0,55.47,35.7,51.14,0,36.01,0,80.38,0,36.01,0,0,0,56.45,0,40.87,41.14,35.39,0,63.76
kr-vs-k-zero-one_vs_draw,95.73,99.54,99.54,99.54,95.67,96.32,98.9,99.37,91.67,99.48,99.54,95.67,89.75,89.75,99.19,99.19,93.9,89.52,54.95,56.29,95.48,95.45,85.42,26.46,89.2,90.48,82.13,81.88,86.4,57,79.09,0,88.55,90.48,91.17,0,83.4,95.5,93.52,93.57,87.53,17.61,94.67,97.45,95.6,97.34,95.45,97.4
page-blocks-1-3_vs_4,93.21,93.21,93.21,93.21,85.99,23.74,80.05,92.55,86.4,91.54,93.21,99.65,93.21,69.71,90.53,69.71,69.71,91.16,100,98.58,88.81,66.34,100,100,67.92,58.59,67.92,58.59,48.39,23.74,67.92,67.92,86.35,67.4,58.59,67.92,60.15,92.21,85.68,92.88,92.55,41.11,92.88,91.88,76.45,85.06,91.88,92.55
poker-8-9_vs_5,0,67.64,68.4,48.33,0,83.3,79.12,0,62.07,81.81,48.37,34.26,0,54.25,48.12,52.16,0,52.62,54.12,69.22,51.62,64.41,52.28,70,45.64,57.5,48.51,44.57,32.61,49.86,43.41,53.92,48.08,56.87,44.97,53.81,0,67.34,67.93,58.47,0,79.73,59.29,59.54,58.06,66.5,58.78,59.44
poker-8-9_vs_6,89.34,99.66,99.78,99.66,44.52,82.42,98.19,89.04,71.81,98.76,99.66,88.74,0,88.13,62.46,76.5,0,10.59,75.32,40.07,0,61.96,43.86,41.28,0,60.57,0,0,0,10.59,44.01,0,38.47,60.19,0,40.62,89.34,89.34,100,100,0,14.21,100,100,82.15,100,100,100
winequality-red-8_vs_6,0,53.95,39.56,54.1,39.99,49.36,68.71,71.25,68.52,52.03,53.95,54.73,0,54.88,39.78,39.24,40.3,22.53,35.02,51.71,62.38,55.65,55.95,67.03,65.3,54.26,39.67,54.73,40.3,17.45,17.45,28.5,71.25,53.79,54.88,64.91,0,38.04,39.13,38.15,39.56,17.45,23.63,61.29,80.97,37.59,38.26,65.88
