,KNN,KNN,KNN,KNN,KNN,KNN,KNN,KNN,KNN,KNN,KNN,KNN,CART,CART,CART,CART,CART,CART,CART,CART,CART,CART,CART,CART,NB,NB,NB,NB,NB,NB,NB,NB,NB,NB,NB,NB,SVM,SVM,SVM,SVM,SVM,SVM,SVM,SVM,SVM,SVM,SVM,SVM
,None,SMOTE,BorderlineSMOTE,ADASYN,A-SUWO,G-SMOTE,ASRDO,RBU,ENU,SMOTE-ENN,CCR,NCLHS,None,SMOTE,BorderlineSMOTE,ADASYN,A-SUWO,G-SMOTE,ASRDO,RBU,ENU,SMOTE-ENN,CCR,NCLHS,None,SMOTE,BorderlineSMOTE,ADASYN,A-SUWO,G-SMOTE,ASRDO,RBU,ENU,SMOTE-ENN,CCR,NCLHS,None,SMOTE,BorderlineSMOTE,ADASYN,A-SUWO,G-SMOTE,ASRDO,RBU,ENU,SMOTE-ENN,CCR,NCLHS
ecoli3,69.83,91.26,90.2,90.2,85.94,82.22,82.52,76.37,88.6,87.54,83.05,90.2,63.75,82.52,83.59,75.38,76.44,84.35,50,56.38,84.35,80.93,74.32,91.26,80.62,84.35,85.41,81.16,79.03,87.01,87.54,67.02,81.69,80.62,84.35,84.35,75.91,87.01,86.47,88.07,88.07,88.07,85.41,85.11,89.13,86.47,87.54,88.6
glass1,48.72,53.85,53.85,52.56,57.69,51.28,57.69,48.72,58.97,57.05,57.05,64.1,55.77,46.15,41.67,58.33,44.23,54.49,53.21,56.41,56.41,55.13,46.79,45.51,51.28,53.85,53.85,50,55.77,48.08,50.64,49.36,53.85,51.28,53.85,57.69,58.33,59.62,58.33,53.21,51.92,50.64,54.49,58.97,60.26,61.54,55.13,57.69
glass6,98.28,74.14,80.17,91.38,86.21,56.03,62.07,75,100,99.14,71.55,98.28,99.14,97.41,97.41,83.99,84.85,51.72,38.3,50,99.14,64.66,99.14,100,93.1,90.27,89.66,96.55,79.93,50,50.86,50.86,62.93,69.83,96.55,82.51,65.52,58.62,59.48,58.62,97.41,51.72,59.48,74.14,97.41,67.24,58.62,96.55
vehicle0,86.89,88.03,90.16,89.62,89.31,88.96,91.83,87.22,88.79,89.64,87.48,90.11,71.88,81.79,82.02,80.98,61.89,50.4,84.05,78.28,66.52,83.4,70.5,84.73,68.06,69.08,67.8,71.4,68.56,71.35,76.25,68.87,68.09,67.8,70.67,75.58,98.44,97.92,97.92,96.88,94.93,79.17,90.62,96.35,95.52,97.66,96.09,97.09
vehicle1,59.42,71.05,68.98,70.69,66.56,67.28,67.29,68.06,68.71,67.51,68.98,71.4,50,64.35,67.48,68.98,68.41,50.98,65.65,60.93,69.71,66.21,65.34,67.63,67.14,68.14,68.28,67.14,68.99,58.21,66.58,67.78,66.08,66.37,68.28,71.34,70.03,75.6,78.74,81.3,81.16,59.66,74.77,81.09,77.39,80.66,79.23,84.14
vehicle2,94.73,94.59,93.3,93.81,92.47,72.42,92.53,93.56,88.62,90.92,94.33,95.04,91.07,95.7,95.82,90.92,93.5,52.98,92.54,92.35,89.18,89.12,92.98,92.78,83.36,82.65,69.22,75.19,74.73,50,80.92,83.1,82.35,72.95,82.71,84.77,95.12,93.57,95.82,94.15,94.21,83.51,94.27,95.24,94.73,93.75,95.24,96.47
yeast1,65.96,62.61,61.36,61.43,63.24,61.78,62.53,58.26,64.6,68.79,61.51,62.28,64.02,62.15,67.1,73.11,66.54,51.26,69.41,50.47,64.19,64.59,70.45,66.69,52.6,53.7,54.09,53.7,51.18,51.17,51.57,50.39,54.25,55.19,53.62,57.4,61.55,67.65,63.88,64.43,66.94,67.89,66.34,61.34,68.66,70.35,65.3,65.45
yeast3,84.87,87.17,84.36,86.68,84.6,72.01,90.26,58.4,86.57,87.16,86.68,86.68,89.36,66.21,73.88,87.88,72.66,49.4,49.26,55.2,90.69,72.89,71.32,88.27,71.73,78.04,73.21,75.32,56.42,51.7,59.51,63.7,74.94,78.04,75.72,69.51,84.75,87.9,91.91,92.04,94.83,91.26,93.61,54.74,92.88,91.54,89.12,91.16
abalone-17_vs_7-8-9-10,49.85,75.51,73.17,75.22,69.01,64.99,67.25,61.77,65.28,81.21,74.71,81.36,63.23,78.65,74.63,80.56,75.8,50,50,50,67.25,80.48,81.94,73.83,69.74,64.18,66.67,57.16,59.94,69.74,70.1,72.08,61.62,66.67,55.04,69.96,71.42,80.92,78.8,80.48,77.19,90.86,59.14,79.24,61.92,78.44,81.14,86.04
abalone-19_vs_10-11-12-13,50,49.16,49.47,49.16,50,51.93,43.89,50.26,45.66,47.68,49.26,55.8,50,45.58,52.48,56.33,50,50,50,50,57.73,54.44,53.96,52.25,50,49.89,49.79,49.89,50,49.68,50,60.15,49.89,49.89,49.89,57.2,50,59.2,49.86,56.51,61.82,58.72,57.68,54.28,63.82,58.99,58.78,59.68
glass2,50,50.25,51.11,51.11,47.41,61.82,49.01,46.67,40.52,48.77,51.11,63.92,49.14,48.28,49.14,50,48.28,61.95,48.28,59.36,38.18,53.69,49.14,72.17,56.28,50,50,50,50,61.21,56.28,58.62,42.24,57.14,50,80.17,50,57.14,50,50,50,56.4,50,45.32,53.45,55.42,50,63.3
kr-vs-k-zero-one_vs_draw,95.88,99.53,99.53,99.53,95.82,96.27,98.87,99.35,91.77,99.47,99.53,95.82,90.44,90.44,99.17,99.17,94.21,89.75,63.98,64.75,95.44,95.59,86.68,52.01,89.45,90.64,82.18,81.94,87.17,65.17,79.34,50,88.86,90.64,91.29,50,85.07,95.64,93.79,93.85,88.47,50,94.76,97.5,95.56,97.38,95.59,97.44
page-blocks-1-3_vs_4,93.75,93.75,93.75,93.75,87.5,50,79.94,93,86.57,91.88,93.75,99.63,93.75,75,90.76,75,75,91.04,100,98.51,88.9,70.15,100,100,72.39,66.14,72.39,66.14,61.38,50,72.39,72.39,86.29,71.64,66.14,72.39,68.75,92.63,87.13,93.38,93,55.97,93.38,92.26,77.99,86.38,92.26,93
poker-8-9_vs_5,49.92,71.02,72.07,59.65,49.76,83.34,79.29,48.78,62.06,82.22,59.74,53.73,50,58.26,59.25,55.25,49.19,53.28,54.35,69.37,51.67,66.71,55.42,70.1,54.53,58.17,50.29,52.58,49.26,57.57,43.95,57.77,49.73,57.44,53.31,57.61,50,70.61,71.42,64.68,49.67,79.94,65.99,66.39,58.16,69.47,65.17,66.23
poker-8-9_vs_6,90,99.66,99.77,99.66,60,83.79,98.19,89.66,75.51,98.75,99.66,89.32,50,88.64,69.09,78.98,49.89,50,78.12,50.48,44.33,68.3,58.53,52.97,42.4,66.15,38.1,42.52,49.77,50,45.99,41.95,47.3,65.58,41.38,51.61,90,90,100,100,50,50.45,100,100,83.56,100,100,100
winequality-red-8_vs_6,50,61.17,56.5,61.43,57.55,60.99,72.77,71.55,69.42,58.03,61.17,62.48,48.95,62.74,57.02,55.72,58.33,51.05,47.95,57.5,62.39,64.05,64.57,70.55,68.19,61.69,56.76,62.48,58.33,50,50,52.62,71.55,60.91,62.74,67.67,50,52.84,55.45,53.1,56.5,50,51.31,62.96,80.93,51.79,53.36,68.98
winequality-white-3_vs_7,66.67,64.79,52.81,64.23,65.92,50,37.83,65.92,68.16,67.04,65.17,69.29,74.72,82.4,54.87,64.61,66.48,50,50.19,57.68,50.94,52.06,65.54,79.21,57.3,58.24,60.86,58.24,74.72,50,50,50.75,50.75,59.74,58.99,57.87,63.11,44.76,54.49,44.57,83.33,53,51.69,66.1,60.11,43.45,45.13,80.52
yeast-0-5-6-7-9_vs_4,69.09,77.96,79.73,77.96,78.72,71.1,77.25,54.08,66.02,81.38,79.02,80.79,75.65,68.26,67.2,62.71,66.96,50.35,52.07,45.51,70.39,80.67,66.19,70.74,47.28,49.05,48.7,47.34,47.99,49.65,48.35,73.11,62,47.7,46.99,77.42,68.38,77.96,76.89,79.67,79.02,76.42,84.52,68.2,77.96,78.61,80.08,80.32
yeast-2_vs_4,73.33,79.29,86.31,82.62,73.33,91.79,94.88,70,94.17,85.95,82.62,92.26,72.26,79.64,82.26,82.26,76.31,51.07,49.64,47.74,81.9,85.24,82.26,82.98,81.31,90.12,84.52,81.9,53.81,51.07,74.29,50,68.57,76.31,86.07,76.31,76.31,81.19,82.98,81.19,78.21,81.07,81.55,50,84.88,82.62,81.19,81.9
yeast4,49.88,67.79,68.72,67.56,58.01,78.99,81.13,65.38,73.49,77.46,67.21,79.93,50,68.37,68.02,65.08,66.25,51.05,49.42,50.82,89.34,67.44,68.61,74.52,57.9,59.04,60.55,58.92,52.54,82.93,55.1,55.59,49.42,59.15,59.39,65.55,50,73.09,74.72,83.11,87.45,90.77,89.37,74.71,85.9,85,75.8,85.82
ecoli-0_vs_1,87.5,89.29,89.29,89.29,87.5,94.64,94.64,96.43,87.5,89.29,89.29,89.29,89.29,89.29,89.29,89.29,89.29,96.43,96.43,96.43,91.07,87.5,89.29,92.86,83.93,83.93,82.14,83.93,80.36,50,69.64,50,75,83.93,83.93,50,87.5,92.86,91.07,89.29,92.86,50,96.43,69.27,91.07,89.29,92.86,94.64
ecoli1,89.26,92.4,85.64,87.22,83.23,90.6,89.39,89.99,93.01,85.64,90.23,91.8,82.73,85.04,78.05,79.48,84.07,51.81,84.91,50.23,87.45,84.44,73.09,86.48,90.36,85.04,87.58,87.58,85.41,85.64,83.84,78.31,88.55,88.19,87.58,86.85,85.51,88.42,90.6,90.6,87.82,86.14,90.6,83.37,85.64,91.2,89.63,91.2
ecoli2,87.89,90.6,91.74,87.33,87.33,87.76,89.47,87.63,91.61,90.6,87.33,90.6,74.08,77.36,83.22,81.77,82.34,58.65,81.77,52.4,83.22,90.03,89.47,78.5,66.04,79.11,86.63,65.34,83.22,83.48,88.33,66.04,64.77,82.08,80.81,81.95,87.33,90.6,91.17,93.31,89.47,88.33,88.33,90.03,88.2,90.6,90.6,90.6
glass0,52.6,56.22,53.95,53.95,55.09,74.35,57.47,58.82,58.6,53.95,57.47,67.86,52.6,48.86,50.22,54.87,46.92,63.53,54.87,52.6,54.87,53.73,53.84,67.05,50,50,50,50,50,53.41,50,52.06,50,50,50,64.66,60.88,62.23,70.83,66.4,69.7,65.26,65.26,63.8,58.39,64.39,59.96,67.42
new-thyroid1,93.95,97.17,97.17,97.17,93,87.74,91.51,97.17,83.96,97.17,93.95,97.17,93,93.95,94.89,100,93,87.34,96.23,98.11,90.57,95.83,94.89,100,94.89,90.72,90.72,90.72,90.72,86.95,98.11,94.89,78.3,90.72,90.72,99.06,95.83,97.17,98.11,97.17,94.89,84.51,93.4,97.17,85.85,98.11,98.11,98.11
page-blocks0,88.8,91.46,92.68,92.3,87.19,50,88.8,78.49,90.61,93.18,93.21,92.89,81.92,81.2,79.42,77.1,74.64,50,83.57,78.91,78.33,84.52,82.4,83.58,82.08,81.58,80.06,80.27,82.86,50,82.08,82.04,82.2,73.24,81.48,82.25,79.37,91.01,91.36,92.18,91.17,56.22,79.37,86.39,87.7,91.47,90.41,93
pima,69.22,69.09,69.84,68.69,69.76,65.82,68.21,72.87,71.91,73.37,73.94,74.69,62.43,68.42,63.11,64.08,62.06,48.57,68.45,57.75,67.25,66.41,68.09,68.77,68.37,70.92,69.17,66.66,66.98,49.64,65.86,69.65,69.76,67,67.62,71.04,72.44,70.21,67.13,68.05,71.47,58.88,70.39,70.08,68.81,63.62,70.72,75.77
